<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RI.RTSI,D,20010924,00:00:00,189.4000000,189.6700000,183.6600000,186.0200000,0
RI.RTSI,D,20010925,00:00:00,179.3200000,179.3200000,176.6400000,179.2000000,0
RI.RTSI,D,20010926,00:00:00,177.0400000,178.0800000,176.5300000,176.7900000,0
RI.RTSI,D,20010927,00:00:00,176.9700000,177.4800000,176.4900000,176.4900000,0
RI.RTSI,D,20010928,00:00:00,178.7600000,180.7900000,178.7600000,180.2500000,0
RI.RTSI,D,20011001,00:00:00,181.7100000,182.6000000,179.6700000,179.9000000,0
RI.RTSI,D,20011002,00:00:00,180.0400000,180.0400000,177.9300000,178.1200000,0
RI.RTSI,D,20011003,00:00:00,176.5600000,176.5600000,173.6900000,174.2000000,0
RI.RTSI,D,20011004,00:00:00,175.5900000,176.7000000,175.2300000,175.9000000,0
RI.RTSI,D,20011005,00:00:00,175.1000000,177.3000000,175.1000000,176.7600000,0
RI.RTSI,D,20011008,00:00:00,175.0600000,175.8300000,174.5200000,175.8300000,0
RI.RTSI,D,20011009,00:00:00,176.4300000,178.5900000,176.4300000,178.5900000,0
RI.RTSI,D,20011010,00:00:00,180.9800000,183.8800000,180.9800000,183.8800000,0
RI.RTSI,D,20011011,00:00:00,187.5300000,191.4500000,187.5300000,191.4500000,0
RI.RTSI,D,20011012,00:00:00,193.0400000,193.0400000,190.1100000,190.8900000,0
RI.RTSI,D,20011015,00:00:00,188.0100000,188.7500000,188.0100000,188.7500000,0
RI.RTSI,D,20011016,00:00:00,190.3400000,192.2100000,190.3400000,192.2100000,0
RI.RTSI,D,20011017,00:00:00,196.0100000,198.0000000,196.0100000,197.5500000,0
RI.RTSI,D,20011018,00:00:00,194.2100000,194.2100000,191.4000000,191.4000000,0
RI.RTSI,D,20011019,00:00:00,191.2400000,191.3400000,189.3000000,190.9800000,0
RI.RTSI,D,20011022,00:00:00,193.3100000,196.8900000,193.3100000,196.8900000,0
RI.RTSI,D,20011023,00:00:00,195.2100000,198.1600000,195.0500000,198.1600000,0
RI.RTSI,D,20011024,00:00:00,197.3900000,200.3000000,197.3900000,198.5700000,0
RI.RTSI,D,20011025,00:00:00,200.1900000,200.2000000,195.8100000,195.8100000,0
RI.RTSI,D,20011026,00:00:00,197.3500000,199.0900000,197.2600000,199.0900000,0
RI.RTSI,D,20011029,00:00:00,200.4400000,201.0400000,199.6100000,201.0400000,0
RI.RTSI,D,20011030,00:00:00,200.7400000,204.8000000,200.7400000,204.7100000,0
RI.RTSI,D,20011031,00:00:00,205.3900000,205.3900000,203.4600000,204.0400000,0
RI.RTSI,D,20011101,00:00:00,203.6200000,204.2800000,202.8900000,204.1300000,0
RI.RTSI,D,20011102,00:00:00,204.3800000,207.0000000,203.3700000,203.5200000,0
RI.RTSI,D,20011105,00:00:00,205.2300000,211.5300000,205.2300000,211.5300000,0
RI.RTSI,D,20011106,00:00:00,212.2500000,212.2500000,207.3600000,207.3600000,0
RI.RTSI,D,20011108,00:00:00,209.8200000,219.0000000,209.8200000,219.0000000,0
RI.RTSI,D,20011109,00:00:00,219.5300000,226.1300000,218.9900000,225.0400000,0
RI.RTSI,D,20011112,00:00:00,231.0500000,233.3000000,223.9700000,223.9700000,0
RI.RTSI,D,20011113,00:00:00,226.7500000,236.5300000,226.6100000,236.5300000,0
RI.RTSI,D,20011114,00:00:00,243.1400000,243.1400000,229.3300000,229.3300000,0
RI.RTSI,D,20011115,00:00:00,219.3300000,219.3300000,215.1300000,215.5600000,0
RI.RTSI,D,20011116,00:00:00,212.4000000,214.6500000,212.4000000,212.7300000,0
RI.RTSI,D,20011119,00:00:00,213.7500000,217.1900000,213.7500000,216.1500000,0
RI.RTSI,D,20011120,00:00:00,218.5100000,221.2600000,218.5100000,221.0600000,0
RI.RTSI,D,20011121,00:00:00,221.8200000,222.5300000,218.2100000,218.3700000,0
RI.RTSI,D,20011122,00:00:00,219.3700000,229.6100000,219.3700000,229.6100000,0
RI.RTSI,D,20011123,00:00:00,231.0500000,231.1600000,222.9900000,225.7200000,0
RI.RTSI,D,20011126,00:00:00,225.9300000,229.6400000,225.9300000,226.1200000,0
RI.RTSI,D,20011127,00:00:00,227.1800000,229.0200000,225.6500000,226.6700000,0
RI.RTSI,D,20011128,00:00:00,226.0800000,226.1900000,223.8800000,223.8800000,0
RI.RTSI,D,20011129,00:00:00,222.2800000,223.5800000,221.1200000,223.5800000,0
RI.RTSI,D,20011130,00:00:00,227.8100000,227.8100000,225.9300000,226.4900000,0
RI.RTSI,D,20011203,00:00:00,227.7400000,227.8300000,225.8100000,227.0100000,0
RI.RTSI,D,20011204,00:00:00,231.2100000,234.9900000,231.2100000,234.9900000,0
RI.RTSI,D,20011205,00:00:00,235.2300000,236.6400000,234.4200000,234.4200000,0
RI.RTSI,D,20011206,00:00:00,238.0300000,241.3000000,238.0300000,241.3000000,0
RI.RTSI,D,20011207,00:00:00,237.5900000,238.4200000,236.9800000,238.4200000,0
RI.RTSI,D,20011210,00:00:00,240.2400000,241.3300000,240.2400000,240.5600000,0
RI.RTSI,D,20011211,00:00:00,240.5300000,242.2000000,240.5300000,241.9200000,0
RI.RTSI,D,20011213,00:00:00,238.6300000,238.6300000,231.1500000,231.1500000,0
RI.RTSI,D,20011214,00:00:00,230.3000000,230.3000000,228.4100000,229.3900000,0
RI.RTSI,D,20011217,00:00:00,232.7700000,235.4800000,232.7700000,235.4800000,0
RI.RTSI,D,20011218,00:00:00,236.3000000,238.3700000,236.3000000,237.6800000,0
RI.RTSI,D,20011219,00:00:00,238.3900000,243.4500000,238.3900000,242.8400000,0
RI.RTSI,D,20011220,00:00:00,243.0200000,248.0800000,243.0200000,247.2400000,0
RI.RTSI,D,20011221,00:00:00,243.8900000,248.4700000,243.6200000,248.4700000,0
RI.RTSI,D,20011224,00:00:00,250.8200000,254.3700000,250.8200000,252.7300000,0
RI.RTSI,D,20011225,00:00:00,251.8300000,251.8300000,250.2000000,250.2000000,0
RI.RTSI,D,20011226,00:00:00,250.4700000,252.0200000,250.1400000,251.9500000,0
RI.RTSI,D,20011227,00:00:00,252.8500000,254.5900000,252.8300000,254.3800000,0
RI.RTSI,D,20011228,00:00:00,256.5300000,257.4300000,256.4100000,256.7500000,0
RI.RTSI,D,20011229,00:00:00,257.7000000,260.0500000,257.7000000,260.0500000,0
RI.RTSI,D,20020103,00:00:00,262.0300000,267.7000000,262.0300000,267.7000000,0
RI.RTSI,D,20020104,00:00:00,271.8100000,276.8500000,271.7600000,276.8500000,0
RI.RTSI,D,20020108,00:00:00,282.1500000,290.0600000,282.1500000,288.7200000,0
RI.RTSI,D,20020109,00:00:00,286.0700000,292.5400000,286.0700000,290.6700000,0
RI.RTSI,D,20020110,00:00:00,289.2200000,289.2200000,285.5800000,286.5900000,0
RI.RTSI,D,20020111,00:00:00,287.4200000,290.8600000,287.4200000,290.8600000,0
RI.RTSI,D,20020114,00:00:00,284.7500000,284.7500000,281.9900000,281.9900000,0
RI.RTSI,D,20020115,00:00:00,278.0800000,283.8000000,277.3400000,283.8000000,0
RI.RTSI,D,20020116,00:00:00,283.2300000,287.1600000,282.9800000,282.9800000,0
RI.RTSI,D,20020117,00:00:00,283.4000000,289.5700000,283.4000000,289.5300000,0
RI.RTSI,D,20020118,00:00:00,292.0300000,292.0300000,288.6000000,289.7500000,0
RI.RTSI,D,20020121,00:00:00,291.2400000,294.1800000,291.2400000,293.1300000,0
RI.RTSI,D,20020122,00:00:00,293.8700000,301.4500000,293.8700000,301.4500000,0
RI.RTSI,D,20020123,00:00:00,299.7200000,300.4600000,295.9600000,295.9600000,0
RI.RTSI,D,20020124,00:00:00,291.3700000,291.3700000,282.7900000,282.7900000,0
RI.RTSI,D,20020125,00:00:00,281.5900000,284.3300000,278.3400000,278.3400000,0
RI.RTSI,D,20020128,00:00:00,279.8100000,283.9100000,279.8100000,283.3900000,0
RI.RTSI,D,20020129,00:00:00,286.3100000,294.5900000,286.0600000,294.2200000,0
RI.RTSI,D,20020130,00:00:00,286.3900000,286.3900000,281.3900000,283.6800000,0
RI.RTSI,D,20020131,00:00:00,287.3900000,288.4000000,285.7400000,287.5300000,0
RI.RTSI,D,20020201,00:00:00,290.3400000,290.9100000,288.0100000,288.0100000,0
RI.RTSI,D,20020204,00:00:00,286.6700000,288.6500000,285.8700000,288.6500000,0
RI.RTSI,D,20020205,00:00:00,284.2600000,286.3100000,284.2600000,285.8200000,0
RI.RTSI,D,20020206,00:00:00,289.2100000,292.7600000,288.9900000,292.7600000,0
RI.RTSI,D,20020207,00:00:00,291.9800000,295.3500000,291.9300000,294.4100000,0
RI.RTSI,D,20020208,00:00:00,295.9600000,296.8400000,293.8200000,293.8200000,0
RI.RTSI,D,20020211,00:00:00,294.2200000,295.7800000,294.2200000,294.3500000,0
RI.RTSI,D,20020212,00:00:00,299.3700000,300.6200000,297.8300000,298.3200000,0
RI.RTSI,D,20020213,00:00:00,296.9200000,296.9200000,295.3000000,295.8600000,0
RI.RTSI,D,20020214,00:00:00,289.9300000,295.4800000,289.8900000,294.8300000,0
RI.RTSI,D,20020215,00:00:00,293.9500000,295.7200000,293.5500000,293.5500000,0
RI.RTSI,D,20020218,00:00:00,291.9900000,291.9900000,289.2500000,290.9800000,0
RI.RTSI,D,20020219,00:00:00,290.8700000,292.0800000,288.8600000,288.8600000,0
RI.RTSI,D,20020220,00:00:00,285.8100000,285.8100000,280.1200000,282.5600000,0
RI.RTSI,D,20020221,00:00:00,287.1500000,288.9700000,286.6800000,288.9700000,0
RI.RTSI,D,20020222,00:00:00,289.3400000,295.9700000,289.3400000,295.3500000,0
RI.RTSI,D,20020226,00:00:00,297.1500000,301.3200000,294.3300000,294.3300000,0
RI.RTSI,D,20020227,00:00:00,294.8200000,294.8200000,290.2100000,291.6400000,0
RI.RTSI,D,20020228,00:00:00,292.5300000,292.5300000,288.7200000,290.7500000,0
RI.RTSI,D,20020301,00:00:00,295.3100000,305.4700000,295.3100000,305.4700000,0
RI.RTSI,D,20020304,00:00:00,321.5500000,324.4300000,318.3500000,319.0500000,0
RI.RTSI,D,20020305,00:00:00,318.6900000,320.5300000,315.4100000,319.8600000,0
RI.RTSI,D,20020306,00:00:00,317.4200000,319.3000000,316.6700000,319.3000000,0
RI.RTSI,D,20020307,00:00:00,321.0500000,331.4100000,321.0500000,331.4100000,0
RI.RTSI,D,20020311,00:00:00,331.2500000,331.2500000,319.4900000,319.4900000,0
RI.RTSI,D,20020312,00:00:00,319.1500000,321.4800000,316.8100000,316.8400000,0
RI.RTSI,D,20020313,00:00:00,323.0200000,323.7200000,322.6700000,322.7900000,0
RI.RTSI,D,20020314,00:00:00,323.8200000,332.2400000,323.6500000,332.2400000,0
RI.RTSI,D,20020315,00:00:00,337.9900000,340.2600000,337.9800000,340.2600000,0
RI.RTSI,D,20020318,00:00:00,344.1200000,348.9800000,344.1200000,348.4400000,0
RI.RTSI,D,20020319,00:00:00,347.1500000,350.9900000,345.8600000,349.7300000,0
RI.RTSI,D,20020320,00:00:00,347.2300000,347.2300000,340.7900000,340.7900000,0
RI.RTSI,D,20020321,00:00:00,339.4400000,345.6500000,339.4400000,345.5800000,0
RI.RTSI,D,20020322,00:00:00,345.9600000,348.5000000,345.9600000,347.5500000,0
RI.RTSI,D,20020325,00:00:00,348.1800000,348.1800000,338.7400000,338.7400000,0
RI.RTSI,D,20020326,00:00:00,334.7000000,335.2400000,333.2600000,334.2400000,0
RI.RTSI,D,20020327,00:00:00,338.3400000,341.4100000,338.2200000,339.3700000,0
RI.RTSI,D,20020328,00:00:00,343.0100000,349.1600000,343.0100000,349.1600000,0
RI.RTSI,D,20020329,00:00:00,351.8400000,351.8400000,349.9300000,350.7500000,0
RI.RTSI,D,20020401,00:00:00,350.4700000,350.4700000,348.3000000,349.7700000,0
RI.RTSI,D,20020402,00:00:00,350.3900000,350.3900000,346.3600000,346.3600000,0
RI.RTSI,D,20020403,00:00:00,344.0700000,344.0700000,335.4900000,339.7900000,0
RI.RTSI,D,20020404,00:00:00,339.0100000,340.5000000,338.9900000,340.0300000,0
RI.RTSI,D,20020405,00:00:00,342.5300000,343.2500000,341.7600000,343.1600000,0
RI.RTSI,D,20020408,00:00:00,341.0800000,347.4800000,341.0800000,346.4400000,0
RI.RTSI,D,20020409,00:00:00,352.1400000,360.3600000,352.1400000,357.7900000,0
